Species	Virus_name_abbreviation
Vibrio virus phi3	
Salinibacter virus M31CR41-2	
Salinibacter virus SRUTV1	
Arthrobacter virus Kellezzio	
Arthrobacter virus Kitkat	
Xanthomonas virus CP1	
Microbacterium virus Golden	
Microbacterium virus Koji	
Arthrobacter virus Bennie	
Arthrobacter virus DrRobert	
Arthrobacter virus Glenn	
Arthrobacter virus HunterDalle	
Arthrobacter virus Joann	
Arthrobacter virus Korra	
Arthrobacter virus Preamble	
Arthrobacter virus Pumancara	
Arthrobacter virus Wayne	
Mycobacterium virus 244	
Mycobacterium virus Bask21	
Mycobacterium virus CJW1	
Mycobacterium virus Eureka	
Mycobacterium virus Kostya	
Mycobacterium virus Porky	
Mycobacterium virus Pumpkin	
Mycobacterium virus Sirduracell	
Mycobacterium virus Toto	
Salinibacter virus M8CC19	
Salinibacter virus M8CRM1	
Sphingobium virus Lacusarx	
Escherichia virus DE3	
Escherichia virus HK629	
Escherichia virus HK630	
Escherichia virus Lambda	
Arthrobacter virus Laroye	
Mycobacterium virus Halo	
Mycobacterium virus Liefie	
Paenibacillus virus Lily	
Acinetobacter virus IMEAB3	
Acinetobacter virus Loki	
Streptomyces virus phiBT1	
Streptomyces virus phiC31	
Streptomyces virus TG1	
Bacillus virus BMBtp2	
Bacillus virus TP21	
Bacillus virus Mgbh1	
Mycobacterium virus Ff47	
Mycobacterium virus Muddy	
Vibrio virus MAR10	
Vibrio virus SSP002	
Mycobacterium virus Marvin	
Mycobacterium virus Mosmoris	
Microbacterium virus Min1	
Streptococcus virus 7201	
Streptococcus virus DT1	
Streptococcus virus phiAbc2	
Streptococcus virus Sfi19	
Streptococcus virus Sfi21	
Arthrobacter virus Circum	
Arthrobacter virus Mudcat	
Pectobacterium virus My1	
Dinoroseobacter virus D5C	
Pseudomonas virus nickie	
Pseudomonas virus NP1	
Pseudomonas virus PaMx25	
Escherichia virus 9g	
Escherichia virus JenK1	
Escherichia virus JenP1	
Escherichia virus JenP2	
Salmonella virus SE1Kor	
Salmonella virus 9NA	
Salmonella virus SP069	
Proteus virus PM135	
Gordonia virus Nyceirae	
Mycobacterium virus Baka	
Mycobacterium virus Courthouse	
Mycobacterium virus Littlee	
Mycobacterium virus Omega	
Mycobacterium virus Optimus	
Mycobacterium virus Thibault	
Gordonia virus Orchid	
Thermus virus P23-45	
Thermus virus P74-26	
Propionibacterium virus ATCC29399BC	
Propionibacterium virus ATCC29399BT	
Propionibacterium virus Attacne	
Propionibacterium virus Keiki	
Propionibacterium virus Kubed	
Propionibacterium virus Lauchelly	
Propionibacterium virus MrAK	
Propionibacterium virus Ouroboros	
Propionibacterium virus P91	
Propionibacterium virus P105	
Propionibacterium virus P144	
Propionibacterium virus P1001	
Propionibacterium virus P1.1	
Propionibacterium virus P100A	
Propionibacterium virus P100D	
Propionibacterium virus P101A	
Propionibacterium virus P104A	
Propionibacterium virus PA6	
Propionibacterium virus Pacnes201215	
Propionibacterium virus PAD20	
Propionibacterium virus PAS50	
Propionibacterium virus PHL009M11	
Propionibacterium virus PHL025M00	
Propionibacterium virus PHL037M02	
Propionibacterium virus PHL041M10	
Propionibacterium virus PHL060L00	
Propionibacterium virus PHL067M01	
Propionibacterium virus PHL070N00	
Propionibacterium virus PHL071N05	
Propionibacterium virus PHL082M03	
Propionibacterium virus PHL092M00	
Propionibacterium virus PHL095N00	
Propionibacterium virus PHL111M01	
Propionibacterium virus PHL112N00	
Propionibacterium virus PHL113M01	
Propionibacterium virus PHL114L00	
Propionibacterium virus PHL116M00	
Propionibacterium virus PHL117M00	
Propionibacterium virus PHL117M01	
Propionibacterium virus PHL132N00	
Propionibacterium virus PHL141N00	
Propionibacterium virus PHL151M00	
Propionibacterium virus PHL151N00	
Propionibacterium virus PHL152M00	
Propionibacterium virus PHL163M00	
Propionibacterium virus PHL171M01	
Propionibacterium virus PHL179M00	
Propionibacterium virus PHL194M00	
Propionibacterium virus PHL199M00	
Propionibacterium virus PHL301M00	
Propionibacterium virus PHL308M00	
Propionibacterium virus Pirate	
Propionibacterium virus Procrass1	
Propionibacterium virus SKKY	
Propionibacterium virus Solid	
Propionibacterium virus Stormborn	
Propionibacterium virus Wizzo	
Pseudomonas virus PaMx28	
Pseudomonas virus PaMx74	
Mycobacterium virus Papyrus	
Mycobacterium virus Send513	
Mycobacterium virus Patience	
Mycobacterium virus PBI1	
Rhodococcus virus Pepy6	
Rhodococcus virus Poco6	
Caulobacter virus Karma	
Caulobacter virus Magneto	
Caulobacter virus phiCbK	
Caulobacter virus Rogue	
Caulobacter virus Swift	
Staphylococcus virus 11	
Staphylococcus virus 29	
Staphylococcus virus 37	
Staphylococcus virus 53	
Staphylococcus virus 55	
Staphylococcus virus 69	
Staphylococcus virus 71	
Staphylococcus virus 80	
Staphylococcus virus 85	
Staphylococcus virus 88	
Staphylococcus virus 92	
Staphylococcus virus 96	
Staphylococcus virus 187	
Staphylococcus virus 52a	
Staphylococcus virus 80alpha	
Staphylococcus virus CNPH82	
Staphylococcus virus EW	
Staphylococcus virus IPLA5	
Staphylococcus virus IPLA7	
Staphylococcus virus IPLA88	
Staphylococcus virus PH15	
Staphylococcus virus phiETA	
Staphylococcus virus phiETA2	
Staphylococcus virus phiETA3	
Staphylococcus virus phiMR11	
Staphylococcus virus phiMR25	
Staphylococcus virus phiNM1	
Staphylococcus virus phiNM2	
Staphylococcus virus phiNM4	
Staphylococcus virus SAP26	
Staphylococcus virus X2	
Enterococcus virus FL1	
Enterococcus virus FL2	
Enterococcus virus FL3	
Microbacterium virus Pikmin	
Corynebacterium virus Poushou	
Providencia virus PR1	
Listeria virus LP302	
Listeria virus PSA	
Methanobacterium virus psiM1	
Propionibacterium virus PFR1	
Escherichia virus N15	
Rhodococcus virus RER2	
Rhizobium virus P106B	
Strepomyces virus Drgrey	
Strepomyces virus Rima	
Aeromonas virus pIS4A	
Streptomyces virus Jay2Jay	
Streptomyces virus Mildred21	
Streptomyces virus NootNoot	
Streptomyces virus Paradiddles	
Streptomyces virus Peebs	
Streptomyces virus Samisti12	
Pseudomonas virus SM1	
Xylella virus Salvo	
Xylella virus Sano	
Enterococcus virus BC611	
Enterococcus virus IMEEF1	
Enterococcus virus SAP6	
Enterococcus virus VD13	
Streptococcus virus SPQS1	
Corynebacterium virus BFK20	
Geobacillus virus Tp84	
Streptomyces virus Scap1	
Burkholderia virus KL1	
Pseudomonas virus 73	
Pseudomonas virus Ab26	
Pseudomonas virus Kakheti25	
Escherichia virus Cajan	
Escherichia virus Seurat	
Staphylococcus virus SEP9	
Staphylococcus virus Sextaec	
Paenibacillus virus Diva	
Paenibacillus virus Hb10c2	
Paenibacillus virus Rani	
Paenibacillus virus Shelly	
Paenibacillus virus Sitara	
Paenibacillus virus Willow	
Lactococcus virus 712	
Lactococcus virus ASCC191	
Lactococcus virus ASCC273	
Lactococcus virus ASCC281	
Lactococcus virus ASCC465	
Lactococcus virus ASCC532	
Lactococcus virus Bibb29	
Lactococcus virus bIL170	
Lactococcus virus CB13	
Lactococcus virus CB14	
Lactococcus virus CB19	
Lactococcus virus CB20	
Lactococcus virus jj50	
Lactococcus virus P2	
Lactococcus virus P008	
Lactococcus virus sk1	
Lactococcus virus Sl4	
Bacillus virus Slash	
Bacillus virus Stahl	
Bacillus virus Staley	
Bacillus virus Stills	
Gordonia virus Bachita	
Gordonia virus ClubL	
Gordonia virus OneUp	
Gordonia virus Smoothie	
Gordonia virus Soups	
Gordonia virus Strosahl	
Gordonia virus Wait	
Gordonia virus Sour	
Bacillus virus SPbeta	
Burkholderia virus phi6442	
Burkholderia virus phi1026b	
Burkholderia virus phiE125	
Achromobacter virus 83-24	
Achromobacter virus JWX	
Klebsiella virus IME260	
Klebsiella virus Sugarland	
Arthrobacter virus Tank	
Escherichia virus AKFV33	
Escherichia virus BF23	
Escherichia virus DT57C	
Escherichia virus EPS7	
Escherichia virus FFH1	
Escherichia virus H8	
Escherichia virus slur09	
Escherichia virus T5	
Salmonella virus 118970sal2	
Salmonella virus Shivani	
Salmonella virus SPC35	
Salmonella virus Stitch	
Mycobacterium virus Anaya	
Mycobacterium virus Angelica	
Mycobacterium virus Crimd	
Mycobacterium virus Fionnbharth	
Mycobacterium virus Jaws	
Mycobacterium virus Larva	
Mycobacterium virus Macncheese	
Mycobacterium virus Pixie	
Mycobacterium virus TM4	
Tsukamurella virus TIN2	
Tsukamurella virus TIN3	
Tsukamurella virus TIN4	
Rhodobacter virus RcSpartan	
Rhodobacter virus RcTitan	
Mycobacterium virus Tortellini	
Staphylococcus virus 47	
Staphylococcus virus 3a	
Staphylococcus virus 42e	
Staphylococcus virus IPLA35	
Staphylococcus virus phi12	
Staphylococcus virus phiSLT	
Mycobacterium virus 32HC	
Rhodococcus virus Trina	
Paenibacillus virus Tripp	
Flavobacterium virus 1H	
Flavobacterium virus 23T	
Flavobacterium virus 2A	
Flavobacterium virus 6H	
Paenibacillus virus Vegas	
Gordonia virus Vendetta	
Paracoccus virus Shpa	
Pantoea virus Vid5	
Acinetobacter virus B1251	
Acinetobacter virus R3177	
Gordonia virus Brandonk123	
Gordonia virus Lennon	
Gordonia virus Vivi2	
Bacillus virus Wbeta	
Rhodococcus virus Weasel	
Mycobacterium virus Wildcat	
Gordonia virus Billnye	
Gordonia virus Twister6	
Gordonia virus Wizard	
Gordonia virus Hotorobo	
Gordonia virus Monty	
Gordonia virus Woes	
Streptomyces virus TP1604	
Streptomyces virus YDN12	
Roseobacter virus RDJL1	
Roseobacter virus RDJL2	
Xanthomonas virus OP1	
Xanthomonas virus Xop411	
Xanthomonas virus Xp10	
Alphaproteobacteria virus phiJl001	
Pseudomonas virus LKO4	
Pseudomonas virus M6	
Pseudomonas virus MP1412	
Pseudomonas virus PAE1	
Pseudomonas virus Yua	
Gordonia virus Yvonnetastic	
Rhodococcus virus RGL3	
Ranid herpesvirus 1	LTHV; RaHV1
Ranid herpesvirus 2	FV4; RaHV2
Ranid herpesvirus 3	RaHV3
Anguillid herpesvirus 1	AngHV1
Cyprinid herpesvirus 1	CyHV1
Cyprinid herpesvirus 2	CyHV2
Cyprinid herpesvirus 3	KHV; CyHV3
Acipenserid herpesvirus 2	AciHV2
Ictalurid herpesvirus 1	CCV; IcHV1
Ictalurid herpesvirus 2	IcHV2
Salmonid herpesvirus 1	SalHV1
Salmonid herpesvirus 2	SalHV2
Salmonid herpesvirus 3	SalHV3
Gallid alphaherpesvirus 1	ILTV; GaAHV1
Psittacid alphaherpesvirus 1	PDV; PsAHV1
Anatid alphaherpesvirus 1	DEV; AnAHV1
Columbid alphaherpesvirus 1	PHV; CoAHV1
Columbid alphaherpesvirus 1	FaHV1
Gallid alphaherpesvirus 2	MDV1; GaAHV2
Gallid alphaherpesvirus 3	MDV2; GaAHV3
Meleagrid alphaherpesvirus 1	HVT; MeAHV1
Spheniscid alphaherpesvirus 1	SpAHV1
Chelonid alphaherpesvirus 5	FPTHV; ChAHV5
Testudinid alphaherpesvirus 3	THV3; TeAHV3
Ateline alphaherpesvirus 1	HVA1; AtAHV1
Bovine alphaherpesvirus 2	BMV; BoAHV2
Cercopithecine alphaherpesvirus 2	SA8; CeAHV2
Human alphaherpesvirus 1	HSV1; HuAHV1
Human alphaherpesvirus 2	HSV2; HuAHV2
Leporid alphaherpesvirus 4	LHV4; LeAHV4
Macacine alphaherpesvirus 1	BV; McAHV1
Macropodid alphaherpesvirus 1	MaAHV1
Macropodid alphaherpesvirus 2	MaAHV2
Panine alphaherpesvirus 3	ChHV; PnAHV3
Papiine alphaherpesvirus 2	HPV2; PaAHV2
Pteropodid alphaherpesvirus 1	FBAHV1; PtHAV1
Saimiriine alphaherpesvirus 1	HVS1; SaAHV1
Bovine alphaherpesvirus 1	IBRV; BoAHV1
Bovine alphaherpesvirus 5	BoAHV5
Bubaline alphaherpesvirus 1	BuAHV1
Canid alphaherpesvirus 1	CHV; CaAHV1
Caprine alphaherpesvirus 1	CpAHV1
Cercopithecine alphaherpesvirus 9	SVV; CeAHV9
Cervid alphaherpesvirus 1	CvAHV1
Cervid alphaherpesvirus 2	CvAHV2
Equid alphaherpesvirus 1	EAV; EqAHV1
Equid alphaherpesvirus 3	EqAHV3
Equid alphaherpesvirus 4	EqAHV4
Equid alphaherpesvirus 8	EqAHV8
Equid alphaherpesvirus 9	EqAHV9
Felid alphaherpesvirus 1	FVRV; FeAHV1
Human alphaherpesvirus 3	VZV; HuAHV3
Monodontid alphaherpesvirus 1	MoAHV1
Phocid alphaherpesvirus 1	PcAHV1
Suid alphaherpesvirus 1	PRV; SuAHV1
Chelonid alphaherpesvirus 6	LETV; ChAHV6
Aotine betaherpesvirus 1	OMCMV; AoBHV1
Cebine betaherpesvirus 1	CMCMV; CbBHV1
Cercopithecine betaherpesvirus 5	SCMV; CeBHV5
Human betaherpesvirus 5	HCMV; HuBHV5
Macacine betaherpesvirus 3	RhCMV; McBHV3
Macacine betaherpesvirus 8	McBHV8
Mandrilline betaherpesvirus 1	MdBHV1
Panine betaherpesvirus 2	CCMV; PnBHV2
Papiine betaherpesvirus 3	BCMV; PaBHV3
Papiine betaherpesvirus 4	PaBHV4
Saimiriine betaherpesvirus 4	SMCMV; SaBHV4
Murid betaherpesvirus 1	MCMV; MuBHV1
Murid betaherpesvirus 2	RCMV; MuBHV2
Murid betaherpesvirus 8	RCMVE; MuBHV8
Elephantid betaherpesvirus 1	EEHV1; ElBHV1
Elephantid betaherpesvirus 4	EEHV4; ElBHV4
Elephantid betaherpesvirus 5	EEHV5; ElBHV5
Human betaherpesvirus 7	HHV7; HuBHV7
Human betaherpesvirus 6A	HHV6A; HuBHV6A
Human betaherpesvirus 6B	HHV6B; HuBHV6B
Macacine betaherpesvirus 9	MneHV7; McBHV9
Murid betaherpesvirus 3	MTV; MuBHV3
Suid betaherpesvirus 2	PCMV; SuBHV2
Caviid betaherpesvirus 2	GPCMV; CdBHV2
Tupaiid betaherpesvirus 1	THV; TuBHV1
Callitrichine gammaherpesvirus 3	ClGHV3
Cercopithecine gammaherpesvirus 14	CeGHV14
Gorilline gammaherpesvirus 1	GoGHV1
Human gammaherpesvirus 4	EBV; HuGHV4
Human gammaherpesvirus 4	EBV; HuGHV4
Macacine gammaherpesvirus 4	RLV; McGHV4
Macacine gammaherpesvirus 10	McGHV10
Panine gammaherpesvirus 1	PnGHV1
Papiine gammaherpesvirus 1	PaGHV1
Pongine gammaherpesvirus 2	PoGHV2
Alcelaphine gammaherpesvirus 1	MCFV; AlGHV1
Alcelaphine gammaherpesvirus 2	AlGHV2
Bovine gammaherpesvirus 6	BLV; BoGHV6
Caprine gammaherpesvirus 2	CpHV2; CpGHV2
Hippotragine gammaherpesvirus 1	HiGHV1
Ovine gammaherpesvirus 2	OvGHV2
Suid gammaherpesvirus 3	PLVH1; SuGHV3
Suid gammaherpesvirus 4	PLHV2; SuGHV4
Suid gammaherpesvirus 5	PLHV3; SuGHV5
Equid gammaherpesvirus 2	EHV2; EqGHV2
Equid gammaherpesvirus 5	EHV5; EqGHV5
Felid gammaherpesvirus 1	FcaGHV1; FeGHV1
Mustelid gammaherpesvirus 1	BadHV; MusGHV1
Phocid gammaherpesvirus 3	HaSHV; PhGHV3
Vespertilionid gammaherpesvirus 1	VeGHV1
Ateline gammaherpesvirus 2	AtGHV2
Ateline gammaherpesvirus 3	HVA; AtGHV3
Bovine gammaherpesvirus 4	BHV4; BoGHV4
Cricetid gammaherpesvirus 2	RHVP; CrGHV2
Human gammaherpesvirus 8	KSHV; HuGHV8
Macacine gammaherpesvirus 5	RRV; McGHV5
Macacine gammaherpesvirus 8	RFHV; McGHV8
Macacine gammaherpesvirus 11	JMRV; McGHV11
Macacine gammaherpesvirus 12	MneRV2; McGHV12
Murid gammaherpesvirus 4	MHV68; MuGHV4
Murid gammaherpesvirus 7	WMHV; MuGHV7
Saimiriine gammaherpesvirus 2	HVS; SaGHV2
Equid gammaherpesvirus 7	ASHV2; EGHV7
Phocid gammaherpesvirus 2	PhHV2; PhoGHV2
Saguinine gammaherpesvirus 1	SgGHV1
Iguanid herpesvirus 2	IgHV2
Haliotid herpesvirus 1	AbHV1; HaHV1
Ostreid herpesvirus 1	OHV; OsHV1
Acidianus filamentous virus 3	AFV3
Acidianus filamentous virus 6	AFV6
Acidianus filamentous virus 7	AFV7
Acidianus filamentous virus 8	AFV8
Acidianus filamentous virus 9	AFV9
Sulfolobus islandicus filamentous virus	SIFV
Acidianus filamentous virus 2	AFV2
Acidianus filamentous virus 1	AFV1
Acidianus rod-shaped virus 1	ARV1
Sulfolobus islandicus rod-shaped virus 1	SIRV1
Sulfolobus islandicus rod-shaped virus 2	SIRV2
Anopheles gambiae Moose virus	AgaMooV
Antheraea semotivirus Tamy	TamyV
Ascaris lumbricoides Tas virus	AluTasV
Bombyx mori Pao virus	BmoPaoV
Caenorhabditis elegans Cer13 virus	CelCer13V
Drosophila melanogaster Bel virus	DmeBelV
Drosophila melanogaster Roo virus	DmeRooV
Drosophila semotivirus Max	DmeMaxV
Drosophila simulans Ninja virus	DsiNinV
Schistosoma semotivirus Sinbad	
Takifugu rubripes Suzu virus	FruSuzV
Aglaonema bacilliform virus	ABV
Banana streak GF virus	BSGFV
Banana streak IM virus	BSIMV
Banana streak MY virus	BSMYV
Banana streak OL virus	BSOLV
Banana streak UA virus	BSUAV
Banana streak UI virus	BSUIV
Banana streak UL virus	BSULV
Banana streak UM virus	BSUMV
Banana streak VN virus	BSVNV
Birch leaf roll-associated virus	BLRaV
Blackberry virus F	BVF
Bougainvillea chlorotic vein banding virus	BCVBV
Cacao bacilliform Sri Lanka virus	CBSLV
Cacao mild mosaic virus	CMMV
Cacao swollen shoot CD virus	CSSCDV
Cacao swollen shoot CE virus	CSSCEV
Cacao swollen shoot Ghana M virus	CSSGMV
Cacao swollen shoot Ghana N virus	CSSGNV
Cacao swollen shoot Ghana Q virus	CSSGQV
Cacao swollen shoot Togo A virus	CSSToAV
Cacao swollen shoot Togo B virus	CSSTBV
Cacao yellow vein banding virus	CYVBV
Canna yellow mottle associated virus	CaYMaV
Canna yellow mottle virus	CaYMV
Citrus yellow mosaic virus	CiYMV
Commelina yellow mottle virus	CoYMV
Dioscorea bacilliform AL virus	DBALV
Dioscorea bacilliform AL virus 2	DBALV 2
Dioscorea bacilliform ES virus	DBESV
Dioscorea bacilliform RT virus 1	DBRTV1
Dioscorea bacilliform RT virus 2	DBRTV2
Dioscorea bacilliform SN virus	DBSNV
Dioscorea bacilliform TR virus	DBTRV
Fig badnavirus 1	FBV1
Gooseberry vein banding associated virus	GVBaV
Grapevine Roditis leaf discoloration-associated virus	GRLDaV
Grapevine vein clearing virus	GVCV
Jujube mosaic-associated virus	JuMaV
Kalanchoe top-spotting virus	KTSV
Mulberry badnavirus 1	MBV1
Pagoda yellow mosaic associated virus	PYMaV
Pineapple bacilliform CO virus	PBCOV
Pineapple bacilliform ER virus	PBERV
Piper yellow mottle virus	PYMoV
Rubus yellow net virus	RYNV
Schefflera ringspot virus	SRV
Spiraea yellow leafspot virus	SYLSV
Sugarcane bacilliform Guadeloupe A virus	SCBGAV
Sugarcane bacilliform Guadeloupe D virus	SCBGDV
Sugarcane bacilliform IM virus	SCBIMV
Sugarcane bacilliform MO virus	SCBMOV
Sweet potato pakakuy virus	SPPV
Taro bacilliform CH virus	TaBCHV
Taro bacilliform virus	TaBV
Wisteria badnavirus 1	WBV1
Yacon necrotic mottle virus	YNMoV
Angelica bushy stunt virus	AnBSV
Atractylodes mild mottle virus	AMMV
Carnation etched ring virus	CERV
Cauliflower mosaic virus	CMV
Dahlia mosaic virus	DMV
Figwort mosaic virus	FMV
Horseradish latent virus	HLV
Lamium leaf distortion virus	LLDV
Mirabilis mosaic virus	MMV
Rudbeckia flower distortion virus	RuFDV
Soybean Putnam virus	SPuV
Strawberry vein banding virus	SBVB
Thistle mottle virus	ThMoV
Cassava vein mosaic virus	CsVMV
Sweet potato collusive virus	SPCV
Petunia vein clearing virus	PVCV
Rose yellow vein virus	RYVV
Sweet potato vein clearing virus	SPVCV
Tobacco vein clearing virus	TVCV
Blueberry red ringspot virus	BRRV
Cestrum yellow leaf curling virus	CmYLCV
Peanut chlorotic streak virus	PCSV
Soybean chlorotic mottle virus	SbCMV
Rice tungro bacilliform virus	RTBV
Ceratitis capitata Yoyo virus	CcaYoyV
Drosophila ananassae Tom virus	DanTomV
Drosophila melanogaster 17-6 virus	Dme176V
Drosophila melanogaster 297 virus	Dme297V
Drosophila melanogaster Gypsy virus	DmeGypV
Drosophila melanogaster Idefix virus	DmeIdeV
Drosophila melanogaster Tirant virus	DmeTirV
Drosophila melanogaster Zam virus	DmeZamV
Drosophila virilis Tv1 virus	DviTv1V
Trichoplusia ni TED virus	TniTedV
Arabidopsis thaliana Athila virus	AthAthV
Arabidopsis thaliana Tat4 virus	AthTatV
Bombyx mori Mag virus	BmoMagV
Caenorhabditis elegans Cer1 virus	CelCer1V
Cladosporium fulvum T-1 virus	CfuT1V
Dictyostelium discoideum Skipper virus	DdiSkiV
Drosophila buzzatii Osvaldo virus	DbuOsvV
Drosophila melanogaster 412 virus	Dme412V
Drosophila melanogaster Blastopia virus	DmeBlaV
Drosophila melanogaster Mdg1 virus	DmeMdg1V
Drosophila melanogaster Mdg3 virus	DmeMdg3V
Drosophila melanogaster Micropia virus	DmeMicV
Drosophila virilis Ulysses virus	DviUllV
Fusarium oxysporum Skippy virus	FoxSkiV
Lilium henryi Del1 virus	LheDel1V
Saccharomyces cerevisiae Ty3 virus	ScerTy3V
Schizosaccharomyces pombe Tf1 virus	SpoTf1V
Schizosaccharomyces pombe Tf2 virus	SpoTf2V
Takifugu rubripes Sushi virus	TruSusV
Tribolium castaneum Woot virus	TcaWooV
Tripneustis gratilla SURL virus	TgrSurV
Aedes aegypti Mosqcopia virus	AaeMosV
Candida albicans Tca2 virus	CalTca2V
Candida albicans Tca5 virus	CalTca5V
Drosophila melanogaster 1731 virus	Dme1731V
Drosophila melanogaster copia virus	DmecopiaV
Saccharomyces cerevisiae Ty5 virus	SceTy5V
Volvox carteri Lueckenbuesser virus	VcaLeuV
Volvox carteri Osser virus	VcaOssV
Arabidopsis thaliana Art1 virus	AthArt1V
Arabidopsis thaliana AtRE1 virus	AthAtRE1V
Arabidopsis thaliana evelknievel virus	AthEveV
Arabidopsis thaliana Ta1 virus	AthTA1V
Brassica oleracea Melmoth virus	BolMelV
Cajanus cajan Panzee virus	CcaPanV
Glycine max Tgmr virus	GmaTgmrV
Hordeum vulgare BARE-1 virus	HvuBar1V
Nicotiana tabacum Tnt1 virus	NtaTnt1V
Nicotiana tabacum Tto1 virus	NtaTto1V
Oryza australiensis RIRE1 virus	OauRIRE1V
Oryza longistaminata Retrofit virus	OloRetrofitV
Physarum polycephalum Tp1 virus	PpoTp1V
Saccharomyces cerevisiae Ty1 virus	SceTy1V
Saccharomyces cerevisiae Ty2 virus	SceTy2V
Saccharomyces cerevisiae Ty4 virus	SceTy4V
Solanum tuberosum Tst1 virus	StuTst1V
Triticum aestivum WIS2 virus	TaeWis2V
Zea mays Hopscotch virus	ZmaHopV
Zea mays Sto4 virus	ZmaSto4V
Arabidopsis thaliana Endovir virus	AthEndV
Glycine max SIRE1 virus	GmaSIRV
Lycopersicon esculentum ToRTL1 virus	LesToRV
Zea mays Opie2 virus	ZmaOp2V
Zea mays Prem2 virus	ZmaPr2V
Phaseolus vulgaris Tpv2-6 virus	PvuTpvV
Avian carcinoma Mill Hill virus 2	AMV2
Avian leukosis virus	ALV
Avian myeloblastosis virus	AMV
Avian myelocytomatosis virus 29	AMV29
Avian sarcoma virus CT10	ASVCT10
Fujinami sarcoma virus	FuSV
Rous sarcoma virus	RSV
UR2 sarcoma virus	UR2SV
Y73 sarcoma virus	Y73SV
Jaagsiekte sheep retrovirus	JSRV
Langur virus	LNGV
Mason-Pfizer monkey virus	MPMV
Mouse mammary tumor virus	MMTV
Squirrel monkey retrovirus	SMRV
Bovine leukemia virus	BLV
Primate T-lymphotropic virus 1	PTLV1
Primate T-lymphotropic virus 2	PTLV2
Primate T-lymphotropic virus 3	PTLV3
Walleye dermal sarcoma virus	WDSV
Walleye epidermal hyperplasia virus 1	WEHV1
Walleye epidermal hyperplasia virus 2	WEHV2
Chick syncytial virus	CSV
Feline leukemia virus	FeLV
Finkel-Biskis-Jinkins murine sarcoma virus	FBJMSV
Gardner-Arnstein feline sarcoma virus	GAFeSV
Gibbon ape leukemia virus	GALV
Guinea pig type-C oncovirus	GPCOV
Hardy-Zuckerman feline sarcoma virus	HZFeSV
Harvey murine sarcoma virus	HaMSV
Kirsten murine sarcoma virus	KiMSV
Koala retrovirus	KRV
Moloney murine sarcoma virus	MoMSV
Murine leukemia virus	MLV
Porcine type-C oncovirus	PCOV
Reticuloendotheliosis virus	REV
Snyder-Theilen feline sarcoma virus	STFeSV
Trager duck spleen necrosis virus	TDSNV
Viper retrovirus	VRV
Woolly monkey sarcoma virus	WMSV
Bovine immunodeficiency virus	BIV
Caprine arthritis encephalitis virus	CAEV
Equine infectious anemia virus	EIAV
Feline immunodeficiency virus	FIV
Human immunodeficiency virus 1	HIV1
Human immunodeficiency virus 2	HIV2
Jembrana disease virus	JDV
Puma lentivirus	PLV
Simian immunodeficiency virus	SIV
Visna-maedi virus	VMV
Bovine foamy virus	BFVbta
Equine foamy virus	EFVeca
Feline foamy virus	FFVfca
Brown greater galago prosimian foamy virus	SFVocr
Bornean orangutan simian foamy virus	SFVppy
Central chimpanzee simian foamy virus	SFVptr_huBAD327
Cynomolgus macaque simian foamy virus	SFVmfa_Cy5061
Eastern chimpanzee simian foamy virus	SFVpsc
Grivet simian foamy virus	SFVcae
Guenon simian foamy virus	SFVcni
Japanese macaque simian foamy virus	SFVmfu
Rhesus macaque simian foamy virus	SFVmmu
Spider monkey simian foamy virus	SFVa
Squirrel monkey simian foamy virus	SFVssc
Taiwanese macaque simian foamy virus	SFVmcy
Western chimpanzee simian foamy virus	SFVpve
Western lowland gorilla simian foamy virus	SFVggo
White-tufted-ear marmoset simian foamy virus	SFVcja
Yellow-breasted capuchin simian foamy virus	SFVocr
Bovine atadenovirus D	BAdV-4
Deer atadenovirus A	OdAdV-1
Duck atadenovirus A	DAdV-1
Lizard atadenovirus A	LAdV-2
Ovine atadenovirus D	OAdV-7
Possum atadenovirus A	PoAdV-1
Psittacine atadenovirus A	PiAdV-3
Snake atadenovirus A	SnAdV-1
Duck aviadenovirus B	DAdV-2
Falcon aviadenovirus A	FaAdV-1
Fowl aviadenovirus A	FAdV-1
Fowl aviadenovirus B	FAdV-5
Fowl aviadenovirus C	FAdV-4
Fowl aviadenovirus D	FAdV-9
Fowl aviadenovirus E	FAdV-6
Goose aviadenovirus A	GoAdV-4
Pigeon aviadenovirus A	PiAdV-1
Pigeon aviadenovirus B	PiAdV-2
Psittacine aviadenovirus B	PsAdV-4
Turkey aviadenovirus B	TAdV-1
Turkey aviadenovirus C	TAdV-4
Turkey aviadenovirus D	TAdV-5
Sturgeon ichtadenovirus A	WSAdV-1
Bat mastadenovirus A	BaAdV-3
Bat mastadenovirus B	BaAdV-2
Bat mastadenovirus C	BaAdV-4
Bat mastadenovirus D	BaAdV-7
Bat mastadenovirus E	BaAdV-8
Bat mastadenovirus F	BaAdV-9
Bat mastadenovirus G	BaAdV-11
Bovine mastadenovirus A	BAdV-1
Bovine mastadenovirus B	BAdV-3
Bovine mastadenovirus C	BAdV-10
Canine mastadenovirus A	CAdV-1
Deer mastadenovirus B	OdAdV-2
Dolphin mastadenovirus A	BDAdV-2
Dolphin mastadenovirus B	BDAdV-1
Equine mastadenovirus A	EAdV-1
Equine mastadenovirus B	EAdV-2
Human mastadenovirus A	HAdV-12
Human mastadenovirus B	HAdV-3
